UniqueID	UniqueID2	ID_Name	BamFileName	NCBI_ID	SampleID	Species	Categorize	PINO.
BYU1066	BYU11066	B11DIV351	DIV_351	SRX3411883	DIV351	AD1	Cultivar	PI529636
BYU1067	BYU11067	B11DIV355	DIV_355	SRX3411882	DIV355	AD1	Cultivar	PI529447
BYU1068	BYU11068	B11DIV363	DIV_363	SRX3411881	DIV363	AD1	Cultivar	PI528839
BYU1069	BYU11069	B11DIV364	DIV-364	SRX3411776	DIV364	AD1	Cultivar	PI528728
BYU1070	BYU11070	B11DIV366	DIV_366	SRX3411880	DIV366	AD1	Cultivar	PI528963
BYU1071	BYU11071	B11DIV373	DIV_373	SRX3411878	DIV373	AD1	Cultivar	PI528645
BYU1072	BYU11072	B11DIV380	DIV_380	SRX3411879	DIV380	AD1	Cultivar	PI528781
BYU1073	BYU11073	B11DIV382	Div-382	SRX3411773	DIV382	AD1	Cultivar	PI528843
BYU1074	BYU11074	B11NC769	NC12-769	SRX3433871	NC769	AD1	Cultivar	PI667659
BYU1075	BYU11075	B11NC770	NC12-770	SRX3433779	NC770	AD1	Cultivar	
BYU1076	BYU11076	B11SA0002	SA_0002	SRX3411937	SA0002	AD1	Cultivar	PI528419
BYU1077	BYU11077	B11SA0033	SA-0033	SRX3411936	SA0033	AD1	Cultivar	PI528450
BYU1078	BYU11078	B11SA0053	SA-0053	SRX3411935	SA0053	AD1	Cultivar	PI528466
BYU1079	BYU11079	B11SA0084	SA-0084	SRX3412163	SA0084	AD1	Cultivar	PI528494
BYU1080	BYU11080	B11SA0159	SA-0159	SRX3412142	SA0159	AD1	Cultivar	PI528557
BYU1081	BYU11081	B11SA0165	SA-0165	SRX3411849	SA0165	AD1	Cultivar	PI528559
BYU1082	BYU11082	B11SA0186	SA-0186	SRX3411850	SA0186	AD1	Cultivar	PI528575
BYU1083	BYU11083	B11SA0238	SA-0238	SRX3411851	SA0238	AD1	Cultivar	PI528606
BYU1084	BYU11084	B11SA0298	SA-0298	SRX3411852	SA0298	AD1	Cultivar	PI528647
BYU1085	BYU11085	B11SA0300	SA-0300	SRX3411853	SA0300	AD1	Cultivar	PI528649
BYU1086	BYU11086	B11SA0311	SA-0311	SRX3411854	SA0311	AD1	Cultivar	PI528657
BYU1087	BYU11087	B11SA0333	SA-0333	SRX3411855	SA0333	AD1	Cultivar	PI528672
BYU1088	BYU11088	B11SA0369	SA_0369	SRX3411856	SA0369	AD1	Cultivar	PI528699
BYU1089	BYU11089	B11SA0582	SA-0582	SRX3411857	SA0582	AD1	Cultivar	PI528865
BYU1090	BYU11090	B11SA0668A	SA_0668A	SRX3411858	SA0668A	AD1	Cultivar	
BYU1091	BYU11091	B11SA0718	SA-0718	SRX3412160	SA0718	AD1	Cultivar	PI528913
BYU1092	BYU11092	B11SA0815	SA-0815	SRX3412159	SA0815	AD1	Cultivar	PI528939
BYU1093	BYU11093	B11SA0825	SA-0825	SRX3412162	SA0825	AD1	Cultivar	PI528942
BYU1094	BYU11094	B11SA0857	SA-0857	SRX3412161	SA0857	AD1	Cultivar	PI528959
BYU1095	BYU11095	B11SA0881	SA-0881	SRX3412156	SA0881	AD1	Cultivar	PI528976
BYU1096	BYU11096	B11SA0883	SA-0883	SRX3412155	SA0883	AD1	Cultivar	PI528978
BYU1097	BYU11097	B11SA0892	SA-0892	SRX3412158	SA0892	AD1	Cultivar	PI528985
BYU1098	BYU11098	B11SA0904	SA-0904	SRX3412157	SA0904	AD1	Cultivar	PI528992
BYU1099	BYU11099	B11SA0940	SA-0940	SRX3412165	SA0940	AD1	Cultivar	PI529010
BYU1100	BYU11100	B11SA0965	SA-0965	SRX3412164	SA0965	AD1	Cultivar	PI529035
BYU1101	BYU11101	B11SA0982	SA-0982	SRX3412031	SA0982	AD1	Cultivar	PI529051
BYU1102	BYU11102	B11SA1006	SA-1006_Merge	SRX3412032	SA1006	AD1	Cultivar	PI529075
BYU1103	BYU11103	B11SA1019	SA-1019_Merge	SRX3412029	SA1019	AD1	Cultivar	PI529088
BYU1104	BYU11104	B11SA1044	SA-1044_Merge	SRX3412030	SA1044	AD1	Cultivar	PI529113
BYU1105	BYU11105	B11SA1055	SA-1055	SRX3412027	SA1055	AD1	Cultivar	PI529124
BYU1106	BYU11106	B11SA1111	SA-1111	SRX3412028	SA1111	AD1	Cultivar	PI529177
BYU1107	BYU11107	B11SA1138	SA-1138	SRX3412025	SA1138	AD1	Cultivar	PI529204
BYU1108	BYU11108	B11SA1139	SA-1139	SRX3412026	SA1139	AD1	Cultivar	PI529205
BYU1109	BYU11109	B11SA1156	SA-1156	SRX3412033	SA1156	AD1	Cultivar	PI529222
BYU1110	BYU11110	B11SA1166	SA-1166	SRX3412034	SA1166	AD1	Cultivar	PI529232
BYU1111	BYU11111	B11SA1181	SA-1181	SRX3411998	SA1181	AD1	Cultivar	PI529246
BYU1112	BYU11112	B11SA1184	SA-1184	SRX3411997	SA1184	AD1	Cultivar	PI529249
BYU1113	BYU11113	B11SA1205	SA-1205	SRX3411996	SA1205	AD1	Cultivar	PI529270
BYU1114	BYU11114	B11SA1212	SA-1212	SRX3411995	SA1212	AD1	Cultivar	PI529277
BYU1115	BYU11115	B11SA1230	SA-1230	SRX3412002	SA1230	AD1	Cultivar	PI529295
BYU1116	BYU11116	B11SA1232	SA-1232	SRX3412001	SA1232	AD1	Cultivar	PI529296
BYU1117	BYU11117	B11SA1237	SA-1237	SRX3412000	SA1237	AD1	Cultivar	PI529300
BYU1118	BYU11118	B11SA1250	SA-1250	SRX3411999	SA1250	AD1	Cultivar	PI529311
BYU1119	BYU11119	B11SA1263	SA_1263	SRX3412004	SA1263	AD1	Cultivar	PI529319
BYU1120	BYU11120	B11SA1278	SA-1278	SRX3412003	SA1278	AD1	Cultivar	PI529334
BYU1121	BYU11121	B11SA1291	SA-1291	SRX3411891	SA1291	AD1	Cultivar	PI529347
BYU1122	BYU11122	B11SA1330	SA-1330	SRX3411892	SA1330	AD1	Cultivar	PI529386
BYU1123	BYU11123	B11SA1349	SA-1349	SRX3411893	SA1349	AD1	Cultivar	PI529405
BYU1124	BYU11124	B11SA1392	SA-1392	SRX3411894	SA1392	AD1	Cultivar	PI529447
BYU1125	BYU11125	B11SA1403	SA-1403	SRX3411887	SA1403	AD1	Cultivar	PI529458
BYU1126	BYU11126	B11SA1406	SA-1406	SRX3411888	SA1406	AD1	Cultivar	PI529461
BYU1127	BYU11127	B11SA1412	SA-1412	SRX3411889	SA1412	AD1	Cultivar	PI529467
BYU1128	BYU11128	B11SA1419	SA-1419	SRX3411890	SA1419	AD1	Cultivar	PI529474
BYU1129	BYU11129	B11SA1420	SA-1420	SRX3411895	SA1420	AD1	Cultivar	PI529475
BYU1130	BYU11130	B11SA1424	SA-1424	SRX3411896	SA1424	AD1	Cultivar	PI529479
BYU1131	BYU11131	B11SA1427	SA-1427	SRX3411784	SA1427	AD1	Cultivar	PI529482
BYU1132	BYU11132	B11SA1428	SA-1428	SRX3411783	SA1428	AD1	Cultivar	PI529483
BYU1133	BYU11133	B11SA1455	SA-1455	SRX3411786	SA1455	AD1	Cultivar	PI529509
BYU1134	BYU11134	B11SA1456	SA-1456	SRX3411785	SA1456	AD1	Cultivar	PI529510
BYU1135	BYU11135	B11SA1465	SA-1465	SRX3411788	SA1465	AD1	Cultivar	PI529519
BYU1136	BYU11136	B11SA1533	SA-1533	SRX3411787	SA1533	AD1	Cultivar	PI529587
BYU1137	BYU11137	B11SA1596	SA-1596	SRX3411790	SA1596	AD1	Cultivar	PI606806
BYU1138	BYU11138	B11SA1604	SA-1604	SRX3411789	SA1604	AD1	Cultivar	PI517941
BYU1139	BYU11139	B11SA1665	SA-1665	SRX3411782	SA1665	AD1	Cultivar	
BYU1140	BYU11140	B11SA1694	SA-1694	SRX3411781	SA1694	AD1	Cultivar	PI540283
BYU1141	BYU11141	B11SA1703	SA-1703	SRX3412067	SA1703	AD1	Cultivar	PI540292
BYU1142	BYU11142	B11SA1710	SA_1710	SRX3411749	SA1710	AD1	Cultivar	PI540299
BYU1143	BYU11143	B11SA1725	SA-1725	SRX3412065	SA1725	AD1	Cultivar	PI532790
BYU1144	BYU11144	B11SA1759	SA-1759	SRX3412066	SA1759	AD1	Cultivar	PI606817
BYU1145	BYU11145	B11SA1766	SA-1766	SRX3412071	SA1766	AD1	Cultivar	PI606821
BYU1146	BYU11146	B11SA1845	SA-1845	SRX3412072	SA1845	AD1	Cultivar	PI606888
BYU1147	BYU11147	B11SA1913	SA-1913	SRX3412069	SA1913	AD1	Cultivar	PI606956
BYU1148	BYU11148	B11SA2057	SA-2057	SRX3412070	SA2057	AD1	Cultivar	PI607100
BYU1149	BYU11149	B11SA2149	SA-2149	SRX3411961	SA2149	AD1	Wild	PI561984
BYU1150	BYU11150	B11SA2192	SA_2192	SRX3411962	SA2192	AD1	Wild	PI562027
BYU1151	BYU11151	B11SA2260	SA-2260	SRX3412059	SA2260	AD1	Cultivar	PI591418
BYU1152	BYU11152	B11SA2269	SA-2269	SRX3412060	SA2269	AD1	Cultivar	PI607172
BYU1153	BYU11153	B11SA2330	SA-2330	SRX3411836	SA2330	AD1	Cultivar	PI607197
BYU1154	BYU11154	B11SA2356	SA-2356	SRX3411835	SA2356	AD1	Cultivar	PI607222
BYU1155	BYU11155	B11SA2374	SA-2374	SRX3411834	SA2374	AD1	Cultivar	PI599998
BYU1156	BYU11156	B11SA2375	SA-2375	SRX3411833	SA2375	AD1	Cultivar	PI600731
BYU1157	BYU11157	B11SA2401	SA-2401	SRX3411832	SA2401	AD1	Cultivar	PI607225
BYU1158	BYU11158	B11SA2558	SA-2558	SRX3411831	SA2558	AD1	Cultivar	PI630181
BYU1159	BYU11159	B11SA2580	SA-2580	SRX3411830	SA2580	AD1	Cultivar	PI612326
BYU1160	BYU11160	B11SA2589	SA-2589_Merge	SRX3411829	SA2589	AD1	Cultivar	PI630203
BYU1161	BYU11161	B11SA2597	SA-2597	SRX3411838	SA2597	AD1	Cultivar	PI536499
BYU1162	BYU11162	B11SA2606	SA-2606	SRX3411837	SA2606	AD1	Cultivar	PI630217
BYU1163	BYU11163	B11SA2895	SA-2895_Merge	SRX3412126	SA2895	AD1	Cultivar	PI592517
BYU1164	BYU11164	B11SA2910	SA-2910	SRX3412127	SA2910	AD1	Cultivar	PI614946
BYU1165	BYU11165	B11SA3137	SA_3137	SRX3412128	SA3137	AD1	Cultivar	PI631442
BYU1166	BYU11166	B11SA3193	SA-3193	SRX3412129	SA3193	AD1	Cultivar	
BYU1167	BYU11167	B11SA3251	SA-3251	SRX3412130	SA3251	AD1	Cultivar	
BYU1168	BYU11168	B11SA3256	SA-3256	SRX3412131	SA3256	AD1	Cultivar	
BYU1169	BYU11169	B11SA3284	SA_3284	SRX3412132	SA3284	AD1	Cultivar	
BYU1170	BYU11170	B11SA3308	SA-3308	SRX3412133	SA3308	AD1	Cultivar	
BYU1171	BYU11171	B11SA3332	SA-3332	SRX3412124	SA3332	AD1	Cultivar	
BYU1172	BYU11172	B11SA3335	SA-3335	SRX3412125	SA3335	AD1	Cultivar	
BYU1173	BYU11173	B11SA3338	SA-3338	SRX3412114	SA3338	AD1	Cultivar	
BYU1174	BYU11174	B11SA3340	SA-3340	SRX3412115	SA3340	AD1	Cultivar	
BYU1175	BYU11175	B11SA3348	SA-3348	SRX3412116	SA3348	AD1	Cultivar	
BYU1176	BYU11176	B11SA3360	SA_3360	SRX3412117	SA3360	AD1	Cultivar	
BYU1177	BYU11177	B11SA3390	SA-3390	SRX3412118	SA3390	AD1	Cultivar	
BYU1178	BYU11178	B11SA3403	SA-3403	SRX3412119	SA3403	AD1	Cultivar	
BYU1179	BYU11179	B11SA3413	SA-3413	SRX3412120	SA3413	AD1	Cultivar	
BYU1180	BYU11180	B11SA3444	SA-3444	SRX3412121	SA3444	AD1	Cultivar	
BYU1181	BYU11181	B11SA3452	SA-3452	SRX3412122	SA3452	AD1	Cultivar	
BYU1182	BYU11182	B11SA3477	SA-3477	SRX3412123	SA3477	AD1	Cultivar	
BYU1183	BYU11183	B11SA3489	SA-3489	SRX3411828	SA3489	AD1	Cultivar	
BYU1184	BYU11184	B11SA3493	SA-3493	SRX3411827	SA3493	AD1	Cultivar	PI636104
BYU1185	BYU11185	B11SA3748	SA-3748	SRX3411826	SA3748	AD1	Cultivar	PI529390
BYU1186	BYU11186	B11SA3749	SA-3749	SRX3411825	SA3749	AD1	Cultivar	PI601544
BYU1187	BYU11187	B11SA3777	SA-3777	SRX3411824	SA3777	AD1	Cultivar	PI601734
BYU1188	BYU11188	B11SA3778	SA-3778	SRX3411823	SA3778	AD1	Cultivar	PI511353
BYU1189	BYU11189	B11SA3781	SA-3781	SRX3411822	SA3781	AD1	Cultivar	PI542049
BYU1190	BYU14190	B14MISU005	Ligon1	SRX3433680	MISU005	AD1	Mutant	
BYU1191	BYU14191	B14MRIC001	M1	SRX3433679	MRIC001	AD1	Mutant	
BYU1192	BYU14192	B14MRIC011	M11	SRX3433676	MRIC011	AD1	Mutant	
BYU1193	BYU14193	B14MRIC012	M12	SRX3433675	MRIC012	AD1	Mutant	
BYU1194	BYU14194	B14MRIC002	M2	SRX3433659	MRIC002	AD1	Mutant	
BYU1195	BYU14195	B14MRIC003	M3	SRX3433660	MRIC003	AD1	Mutant	
BYU1196	BYU14196	B14MRIC004	M4	SRX3433657	MRIC004	AD1	Mutant	
BYU1197	BYU14197	B14MRIC005	M5	SRX3433652	MRIC005	AD1	Mutant	
BYU1198	BYU14198	B14MRIC006	M6	SRX3433662	MRIC006	AD1	Mutant	
BYU1199	BYU14199	B14MRIC007	M7	SRX3433666	MRIC007	AD1	Mutant	
BYU1200	BYU14200	B14MTEX733	M733_7	SRX3433671	MTEX733	AD1	Mutant	
BYU1201	BYU14201	B14MTEX737	M737-10	SRX3433670	MTEX737	AD1	Mutant	
BYU1202	BYU14202	B14MTEX738	M738_3	SRX3433862	MTEX738	AD1	Mutant	
BYU1203	BYU14203	B14MRIC008	M8	SRX3433863	MRIC008	AD1	Mutant	
BYU1204	BYU14204	B14MTEX835	M835	SRX3433864	MTEX835	AD1	Mutant	
BYU1205	BYU14205	B14MRIC009	M9	SRX3433865	MRIC009	AD1	Mutant	
BYU1206	BYU14206	B14MISU001	MISU001	SRX3433858	MISU001	AD1	Mutant	
BYU1207	BYU14207	B14MISU002	MISU002	SRX3433859	MISU002	AD1	Mutant	
BYU1208	BYU14208	B14MISU003	MISU003	SRX3433860	MISU003	AD1	Mutant	
BYU1209	BYU14209	B14MISU004	MISU004	SRX3433861	MISU004	AD1	Mutant	
BYU1210	BYU12210	B12Gh2091	11-2091-1	SRX3433682	Gh2091	AD1	Wild	
BYU1211	BYU12211	B12Gh2100	11-2100	SRX3433681	Gh2100	AD1	Wild	
BYU1212	BYU12212	B12BPS1148	BPS1148	SRX3411947	BPS1148	AD1	Wild	
BYU1213	BYU12213	B12BPS1149	BPS1149	SRX3411944	BPS1149	AD1	Wild	
BYU1214	BYU12214	B12BPS1151	BPS1151	SRX3411945	BPS1151	AD1	Wild	
BYU1215	BYU12215	B12BPS1152	BPS1152	SRX3412081	BPS1152	AD1	Wild	
BYU1216	BYU12216	B12BPS1157	BPS1157	SRX3412080	BPS1157	AD1	Wild	
BYU1217	BYU12217	B12BPS1173	BPS1173	SRX3412083	BPS1173	AD1	Wild	
BYU1218	BYU12218	B12BPS1206	BPS1206	SRX3412082	BPS1206	AD1	Wild	
BYU1219	BYU12219	B12BPS1207	BPS1207	SRX3412077	BPS1207	AD1	Wild	
BYU1220	BYU12220	B12BPS1209	BPS1209	SRX3412076	BPS1209	AD1	Wild	
BYU1221	BYU12221	B12BPS1238	BPS1238	SRX3412079	BPS1238	AD1	Wild	
BYU1222	BYU12222	B12BPS1239	BPS1239	SRX3412078	BPS1239	AD1	Wild	
BYU1223	BYU12223	B12BPS1240	BPS1240	SRX3412075	BPS1240	AD1	Wild	
BYU1224	BYU12224	B12BPS1242	BPS1242	SRX3412074	BPS1242	AD1	Wild	
BYU1225	BYU12225	B12BPS1244	BPS1244	SRX3411942	BPS1244	AD1	Wild	
BYU1226	BYU12226	B12BPS1247	BPS1247	SRX3411941	BPS1247	AD1	Wild	
BYU1227	BYU12227	B12KLM1872	KLM1872	SRX3411876	KLM1872	AD1	Wild	
BYU1228	BYU12228	B12LKSP	LKSP	SRX3411938	LKSP	AD1	Wild	
BYU1229	BYU12229	B12OWS	OWS	SRX3411946	OWS	AD1	Wild	
BYU1230	BYU12230	B12SANI	Sani	SRX3411875	SANI	AD1	Wild	
BYU1231	BYU12231	B12TX0006	TX_0006	SRX3411906	TX0006	AD1	Wild	PI153988
BYU1232	BYU12232	B12TX0009	TX_0009	SRX3411959	TX0009	AD1	Wild	PI153998
BYU1233	BYU12233	B12TX0012	TX_0012	SRX3411811	TX0012	AD1	Wild	PI154006
BYU1234	BYU12234	B12TX0014	TX_0014	SRX3411793	TX0014	AD1	Wild	PI154011
BYU1235	BYU12235	B12TX0044	TX-0044	SRX3412024	TX0044	AD1	Wild	PI154055
BYU1236	BYU12236	B12TX0069	TX-0069	SRX3411759	TX0069	AD1	Wild	PI153964
BYU1237	BYU12237	B12TX0087	TX-0087	SRX3412102	TX0087	AD1	Wild	PI153975
BYU1238	BYU12238	B12TX0089	TX_0089	SRX3412086	TX0089	AD1	Wild	PI153977
BYU1239	BYU12239	B12TX0109	TX_0109	SRX3412023	TX0109	AD1	Wild	PI165342
BYU1240	BYU12240	B12TX0112	TX_0112	SRX3411797	TX0112	AD1	Wild	PI163690
BYU1241	BYU12241	B12TX0130	TX_0130	SRX3411795	TX0130	AD1	Wild	PI165296
BYU1242	BYU12242	B12TX0147	TX_0147	SRX3411869	TX0147	AD1	Wild	PI165310
BYU1243	BYU12243	B12TX0180	TX-0180	SRX3412088	TX0180	AD1	Wild	PI163742
BYU1244	BYU12244	B12TX0194	TX-0194	SRX3412022	TX0194	AD1	Wild	PI165304
BYU1245	BYU12245	B12TX0200	TX_0200	SRX3411804	TX0200	AD1	Wild	PI163670
BYU1246	BYU12246	B12TX0213	TX-0213	SRX3412036	TX0213	AD1	Wild	PI163613
BYU1247	BYU12247	B12TX0215	TX_0215	SRX3412111	TX0215	AD1	Wild	PI163637
BYU1248	BYU12248	B12TX0217	TX_0217	SRX3412090	TX0217	AD1	Wild	PI163656
BYU1249	BYU12249	B12TX0240	TX_0240	SRX3411914	TX0240	AD1	Wild	PI163708
BYU1250	BYU12250	B12TX0248	TX_0248	SRX3411964	TX0248	AD1	Wild	PI163673
BYU1251	BYU12251	B12TX0249	TX_0249	SRX3412037	TX0249	AD1	Wild	PI163700
BYU1252	BYU12252	B12TX0279	TX-0279	SRX3412021	TX0279	AD1	Wild	PI165278
BYU1253	BYU12253	B12TX0286	TX_0286	SRX3412098	TX0286	AD1	Wild	PI165265
BYU1254	BYU12254	B12TX0303	TX-0303	SRX3412020	TX0303	AD1	Wild	PI165352
BYU1255	BYU12255	B12TX0315	TX-0315	SRX3412041	TX0315	AD1	Wild	PI165334
BYU1256	BYU12256	B12TX0390	TX_0390	SRX3411762	TX0390	AD1	Wild	PI529807
BYU1257	BYU12257	B12TX0461	TX_0461	SRX3411973	TX0461	AD1	Wild	PI154012
BYU1258	BYU12258	B12TX0480	TX-0480	SRX3412019	TX0480	AD1	Wild	PI158523
BYU1259	BYU12259	B12TX0481	TX-0481	SRX3412018	TX0481	AD1	Wild	PI158527
BYU1260	BYU12260	B12TX0487	TX_0487	SRX3412017	TX0487	AD1	Wild	PI158544
BYU1261	BYU12261	B12TX0634	TX_0634	SRX3411752	TX0634	AD1	Wild	PI158459
BYU1262	BYU12262	B12TX0662	TX-0662	SRX3412016	TX0662	AD1	Wild	PI158524
BYU1263	BYU12263	B12TX0663	TX-0663	SRX3412015	TX0663	AD1	Wild	PI158525
BYU1264	BYU12264	B12TX0664	TX_0664	SRX3412149	TX0664	AD1	Wild	PI158526
BYU1265	BYU12265	B12TX0665	TX_0665	SRX3412150	TX0665	AD1	Wild	PI158532
BYU1266	BYU12266	B12TX0668	TX-0668	SRX3412147	TX0668	AD1	Wild	PI158549
BYU1267	BYU12267	B12TX0670	TX-0670	SRX3412148	TX0670	AD1	Wild	PI158555
BYU1268	BYU12268	B12TX0672	TX-0672	SRX3412153	TX0672	AD1	Wild	PI158559
BYU1269	BYU12269	B12TX0674	TX_0674	SRX3412154	TX0674	AD1	Wild	PI158562
BYU1270	BYU12270	B12TX0686	TX_0686	SRX3411777	TX0686	AD1	Wild	PI163720
BYU1271	BYU12271	B12TX0691	TX_0691	SRX3411863	TX0691	AD1	Wild	PI265134
BYU1272	BYU12272	B12TX0698	TX_0698	SRX3411966	TX0698	AD1	Wild	PI265139
BYU1273	BYU12273	B12TX0704	TX_0704	SRX3412151	TX0704	AD1	Wild	PI265142
